Element,Symbol,Supply remaining,Flag colour
Hydrogen,H,+500 years,lime
Helium,He,50-500 years,yellow
Lithium,Li,50-500 years,yellow
Beryllium,Be,50-500 years,yellow
Boron,B,50-500 years,yellow
Carbon,C,+500 years,lime
Nitrogen,N,+500 years,lime
Oxygen,O,+500 years,lime
Fluorine,F,+500 years,lime
Neon,Ne,+500 years,lime
Sodium,Na,+500 years,lime
Magnesium,Mg,50-500 years,yellow
Aluminum,Al,50-500 years,yellow
Silicon,Si,+500 years,lime
Phosphorus,P,50-500 years,yellow
Sulfur,S,50-500 years,yellow
Chlorine,Cl,+500 years,lime
Argon,Ar,+500 years,lime
Potassium,K,+500 years,lime
Calcium,Ca,+500 years,lime
Scandium,Sc,50-500 years,yellow
Titanium,Ti,+500 years,lime
Vanadium,V,50-500 years,yellow
Chromium,Cr,50-500 years,yellow
Manganese,Mn,5-50 years,red
Iron,Fe,+500 years,lime
Cobalt,Co,50-500 years,yellow
Nickel,Ni,50-500 years,yellow
Copper,Cu,50-500 years,yellow
Zinc,Zn,5-50 years,red
Gallium,Ga,5-50 years,red
Germanium,Ge,5-50 years,red
Arsenic,As,5-50 years,red
Selenium,Se,50-500 years,yellow
Bromine,Br,+500 years,lime
Krypton,Kr,+500 years,lime
Rubidium,Rb,+500 years,lime
Strontium,Sr,5-50 years,red
Yttrium,Y,50-500 years,yellow
Zirconium,Zr,50-500 years,yellow
Niobium,Nb,50-500 years,yellow
Molybdenum,Mo,50-500 years,yellow
Technetium,Tc,+500 years,lime
Ruthenium,Ru,5-50 years,red
Rhodium,Rh,5-50 years,red
Palladium,Pd,50-500 years,yellow
Silver,Ag,5-50 years,red
Cadmium,Cd,5-50 years,red
Indium,In,5-50 years,red
Tin,Sn,5-50 years,red
Antimony,Sb,5-50 years,red
Tellurium,Te,50-500 years,yellow
Iodine,I,50-500 years,yellow
Xenon,Xe,+500 years,lime
Cesium,Cs,+500 years,lime
Barium,Ba,+500 years,lime
Lanthanum,La,+500 years,lime
Cerium,Ce,50-500 years,yellow
Praseodymium,Pr,50-500 years,yellow
Neodymium,Nd,50-500 years,yellow
Promethium,Pm,50-500 years,yellow
Samarium,Sm,50-500 years,yellow
Europium,Eu,50-500 years,yellow
Gadolinium,Gd,50-500 years,yellow
Terbium,Tb,50-500 years,yellow
Dysprosium,Dy,50-500 years,yellow
Holmium,Ho,50-500 years,yellow
Erbium,Er,50-500 years,yellow
Thulium,Tm,50-500 years,yellow
Ytterbium,Yb,50-500 years,yellow
Lutetium,Lu,50-500 years,yellow
Hafnium,Hf,5-50 years,red
Tantalum,Ta,50-500 years,yellow
Wolfram,W,5-50 years,red
Rhenium,Re,50-500 years,yellow
Osmium,Os,5-50 years,red
Iridium,Ir,5-50 years,red
Platinum,Pt,5-50 years,red
Gold,Au,5-50 years,red
Mercury,Hg,50-500 years,yellow
Thallium,Tl,5-50 years,red
Lead,Pb,50-500 years,yellow
Bismuth,Bi,5-50 years,red
Polonium,Po,+500 years,lime
Astatine,At,+500 years,lime
Radon,Rn,+500 years,lime
Francium,Fr,+500 years,lime
Radium,Ra,+500 years,lime
Actinium,Ac,+500 years,lime
Thorium,Th,+500 years,lime
Protactinium,Pa,+500 years,lime
Uranium,U,5-50 years,red
Neptunium,Np,50-500 years,yellow
Plutonium,Pu,+500 years,lime
Americium,Am,+500 years,lime
Curium,Cm,+500 years,lime
Berkelium,Bk,+500 years,lime
Californium,Cf,+500 years,lime
Einsteinium,Es,+500 years,lime
Fermium,Fm,+500 years,lime
Mendelevium,Md,+500 years,lime
Nobelium,No,+500 years,lime
Lawrencium,Lr,+500 years,lime
Rutherfordium,Rf,+500 years,lime
Dubnium,Db,+500 years,lime
Seaborgium,Sg,+500 years,lime
Bohrium,Bh,+500 years,lime
Hassium,Hs,+500 years,lime
Meitnerium,Mt,+500 years,lime
Darmstadtium ,Ds ,+500 years,lime
Roentgenium ,Rg ,+500 years,lime
Copernicium ,Cn ,+500 years,lime
Nihonium,Nh,+500 years,lime
Flerovium,Fl,+500 years,lime
Moscovium,Mc,+500 years,lime
Livermorium,Lv,+500 years,lime
Tennessine,Ts,+500 years,lime
Oganesson,Og,+500 years,lime
