name,flag,hazard,cas
Acetic acid,3,H226-H290-H314,64-19-7
Acetic anhydride,3,H226-H302-H314-H330,108-24-7
Acetone,4,H225-H319-H336,67-64-1
Acetonitrile,3,H225-H302 + H312 + H332-H319,75-05-8
Benzene,1,H225-H304-H315-H319-H340-H350-H372-H412,71-43-2
Benzyl alcohol,4,H302 + H332-H319,100-51-6
Carbondisulfide,1,H225-H315-H319-H332-H361fd-H372,75-15-0
Carbontetrachloride,1,H301 + H311 + H331-H317-H351-H372-H412-H420,56-23-5
Chlorobenzene,3,H226-H315-H332-H411,108-90-7
Chloroform,1,H302-H315-H319-H331-H336-H351-H361d-H372,67-66-3
Cyclohexane,3,H225-H304-H315-H336-H410,110-82-7
Cyclohexanone,3,H226-H302 + H312 + H332-H315-H318,108-94-1
Dichloroethane,1,H225-H302-H315-H319-H331-H335-H350,107-06-2
Dichloromethane,2,H315-H319-H336-H351,75-09-2
Diethyl ether,1,H224-H302-H336,60-29-7
Diisopropylether,2,H225-H336,108-20-3
Dimethoxyethane,2,H225-H315-H360FD,110-71-4
Dimethylacetamide,2,H312 + H332-H319-H360D,127-19-5
Dimethylformamide,2,H226-H312 + H332-H319-H360D,68-12-2
Dimethylsulfoxide,3,Not Hazardous,67-68-5
Dioxane,2,H225-H319-H335-H351,123-91-1
DMPU,3,H302-H317-H318-H361,7226-23-5
Ethanol,4,H225-H302-H319-H371,64-17-5
Ethyl acetate,4,H225-H302-H319-H371,141-78-6
Ethylene glycol,4,H302-H373,107-21-1
Formic acid,3,H226-H302-H314-H331,64-18-6
Heptane,3,H225-H304-H315-H336-H410,142-82-5
Hexane,2,H225-H304-H315-H336-H361f-H373-H411,110-54-3
HMPA,1,H340-H350,680-31-9
Isopropylacetate,4,H225-H319-H336,108-21-4
MEK,4,H225-H301 + H311 + H331-H370,78-93-3
Methanol,4,H225-H301 + H311 + H331-H315-H319-H370,67-56-1
Methoxyethanol,2,H226-H302 + H312 + H332-H360FD-H370-H373,109-86-4
Methoxyphenol,4,H302-H317-H319-H361d-H412,150-76-5
Methyl acetate,3,H225-H319-H336,79-20-9
Methyl isobutyl ketone,4,H225-H332-H319-H335,108-10-1
Methyl t-butyl ether,3,H225-H315,1634-04-4
Methyl tetrahydrofuran,3,H225-H302-H315-H318,109-99-9
Methylcyclohexane,3,H225-H304-H315-H336-H410,108-87-2
n-Butanol,4,H226-H302-H315-H318-H335-H336,71-36-3
n-Butylacetate,4,H226-H336,123-86-4
N-methylpyrolidine,2,H315-H319-H335-H360D,872-50-4
Nitromethane,1,H226-H302-H331-H351,75-52-5
Pentane,2,H225-H304-H336-H411,109-66-0
Pyridine,3,H225-H302 + H312 + H332-H315-H319,110-86-1
Sulfolane,4,H302,126-33-0
t-Butanol,4,H225-H319-H332-H335-H336,75-65-0
Tetrahydrofuran,3,H225-H302-H319-H335-H351,109-99-9
Toluene,3,H225-H304-H315-H336-H361d-H373,108-88-3
Triethylamine,2,H225-H302-H311 + H331-H314-H335,121-44-8
Water,4,Not Hazardous,7732-18-5
Xylene,3,H226-H304-H312 + H332-H315-H335-H373,1330-20-7
